road_name,latitude,longitude,radius
ARCHIBALD LANE,-37.777029324,144.908880315,0.05
ARCHIBALD LANE,-37.7768364155,144.9092074865,0.05
KING WILLIAM STREET,-37.802225571,144.976691538,0.05
KING WILLIAM STREET,-37.8022811125,144.9772334975,0.05
SAVIGE STREET,-37.780637671,144.918147514,0.05
SAVIGE STREET,-37.780264674,144.91820874849998,0.05
LITTLE COLLINS STREET,-37.814751065,144.965259372,0.05
EPSOM ROAD,-37.78294437,144.916976457,0.05
EPSOM ROAD,-37.783279209,144.917294981,0.05
BELLAIR STREET,-37.794011946,144.930288871,0.05
BELLAIR STREET,-37.794239562,144.93036246999998,0.05
HENRY STREET,-37.79613485,144.925728987,0.05
HENRY STREET,-37.7959238495,144.92609234050002,0.05
SPENCER STREET,-37.815136675,144.952340931,0.05
SPENCER STREET,-37.81481052066667,144.95219101233334,0.05
SPENCER STREET,-37.81448436633333,144.95204109366665,0.05
TREASURY PLACE,-37.81265607499991,144.977586323,0.05
FOOTSCRAY ROAD,-37.806916731,144.911097843,0.05
MORELAND STREET,-37.803596136,144.90653077,0.05
MORELAND STREET,-37.803355109,144.9066429555,0.05
TOORAK ROAD,-37.837133458,144.977202413,0.05
EMERALD HILL PLACE,-37.8331424,144.960105624,0.05
EMERALD HILL PLACE,-37.83351082233333,144.96027526633333,0.05
EMERALD HILL PLACE,-37.83387924466667,144.96044490866666,0.05
PARK STREET,-37.837954794,144.95212577,0.05
PARK STREET,-37.837938354,144.95183061900002,0.05
PARSONS STREET,-37.790284298,144.935765968,0.05
LINCOLN MEWS,-37.796327059,144.923106574,0.05
CANTERBURY STREET,-37.781449171,144.923411053,0.05
CANTERBURY STREET,-37.7814911935,144.923828574,0.05
QUEENS PARADE,-37.791900252,144.983042717,0.05
SOUTH WHARF DRIVE,-37.823024483,144.940059363,0.05
SOUTH WHARF DRIVE,-37.822947087,144.939718405,0.05
POWELL STREET,-37.839359326,144.989622352,0.05
SPENCER STREET,-37.818081594,144.953694625,0.05
SPENCER STREET,-37.817751723,144.95354298566667,0.05
SPENCER STREET,-37.817421851999995,144.95339134633332,0.05
GREEVES STREET,-37.800143215,144.981226206,0.05
PARK STREET,-37.835937544,144.959117164,0.05
RAE STREET,-37.776536187,144.981317322,0.05
RAE STREET,-37.77685982966666,144.981258871,0.05
RAE STREET,-37.777183472333334,144.98120042,0.05
LITTLE BANK STREET,-37.832156362,144.969955462,0.05
LITTLE BANK STREET,-37.8324106455,144.9696372225,0.05
LITTLE BANK STREET,-37.832664929,144.969318983,0.05
LITTLE BANK STREET,-37.8329192125,144.96900074349998,0.05
UNNAMED,-37.849432052,144.965346425,0.05
ST JAMES LANE,-37.817379505,144.958133063,0.05
PUNT ROAD,-37.828655642,144.988112604,0.05
FARADAY LANE,-37.798965751,144.966480005,0.05
YOUNG STREET,-37.799054185,144.979481868,0.05
YOUNG STREET,-37.798755472500005,144.9795317855,0.05
CECIL PLACE,-37.838477356,144.961081847,0.05
CECIL PLACE,-37.838189354499946,144.9609483975,0.05
BATMAN STREET,-37.784782592,144.97904138,0.05
BATMAN STREET,-37.784391731999996,144.97910697240002,0.05
BATMAN STREET,-37.784000872,144.97917256480002,0.05
BATMAN STREET,-37.783610012,144.9792381572,0.05
BATMAN STREET,-37.783219152,144.9793037496,0.05
FILSON STREET,-37.778703504,144.92489772,0.05
FILSON STREET,-37.77840856633333,144.9248047163333,0.05
FILSON STREET,-37.77811362866667,144.92471171266666,0.05
YOUNG STREET,-37.800729952,144.9792018,0.05
GIPPS STREET,-37.804752197,144.989694526,0.05
FOOTE STREET,-37.845272468,144.945868894,0.05
CHURCH STREET,-37.788356751,144.978817396,0.05
ST GEORGES ROAD,-37.783205164,144.983934705,0.05
ST GEORGES ROAD,-37.782920567000005,144.9841781255,0.05
ST GEORGES ROAD,-37.78263597,144.984421546,0.05
ST GEORGES ROAD,-37.782351373,144.9846649665,0.05
BEACON ROAD,-37.835319592,144.92944816,0.05
BEACON ROAD,-37.8356667915,144.9293194325,0.05
DERBY STREET,-37.797678658,144.928786481,0.05
DERBY STREET,-37.798030101,144.9290904445,0.05
COODE ROAD,-37.811571841,144.927312156,0.05
JOHNSTON STREET,-37.799544336,144.989973789,0.05
JOLIMONT ROAD,-37.816462593,144.978981979,0.05
MAISIE LANE,-37.835749359,144.945661132,0.05
MAISIE LANE,-37.835926566333335,144.94596772233334,0.05
MAISIE LANE,-37.836103773666665,144.94627431266667,0.05
HOTHAM STREET,-37.832626587,144.958508477,0.05
MARY STREET,-37.781183823,144.975679781,0.05
DOEPEL WAY,-37.814727281,144.940069674,0.05
DOEPEL WAY,-37.8150716075,144.940293461,0.05
KING WILLIAM STREET,-37.802024447,144.974729205,0.05
DALGETY DRIVE,-37.777948119,144.906145668,0.05
DALGETY DRIVE,-37.7779509475,144.90646830100002,0.05
ST KILDA ROAD,-37.841392188,144.977194617,0.05
ST KILDA ROAD,-37.841013785166666,144.97706155333333,0.05
ST KILDA ROAD,-37.84063538233333,144.97692848966668,0.05
ST KILDA ROAD,-37.8402569795,144.97679542600002,0.05
ST KILDA ROAD,-37.83987857666667,144.97666236233334,0.05
ST KILDA ROAD,-37.839500173833336,144.97652929866666,0.05
POWELL STREET,-37.84089544,144.989312374,0.05
STEVENSON LANE,-37.811661677,144.965458494,0.05
